batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
26,0.5654288521139093,13,55,851,rmsprop,True,1.0024553340355773
7,0.2716152936219467,14,66,381,adam,False,0.13595667680084703
19,0.3211143917423912,48,90,903,rmsprop,False,0.13603637110753805
18,0.2901515651991442,77,60,600,rmsprop,True,1.0001810908988322
17,0.13572807477285498,31,20,600,adam,False,0.14871551745425154
27,0.9582548121052614,85,91,230,rmsprop,False,0.11517875467804492
24,0.37466036245052925,89,115,681,adam,True,1.174862735323055
9,0.8838521677978554,45,96,340,adam,False,0.1590318781806526
20,0.6757355882129934,55,81,302,rmsprop,True,1.4006692671034036
56,0.45479727774553447,84,40,589,rmsprop,True,1.1133415163728118
34,0.253153915698602,55,35,733,adam,False,0.10121930423092569
2,0.710091516223525,20,65,791,adam,True,0.6790636462645803
29,0.006946218176673846,3,66,814,rmsprop,True,0.6977767186579108
34,0.5719388114380374,52,29,959,adam,True,0.626992312564439
24,0.9923885996901128,65,74,898,adam,True,0.6093555623899094
46,0.7915025634632161,15,32,210,rmsprop,False,0.134380706399679
46,0.39798899345468786,7,77,22,rmsprop,False,0.4407588849482848
32,0.33154352858081904,5,18,875,rmsprop,False,0.16698318284567848
47,0.603211463201072,52,73,741,adam,False,0.06874428888434245
28,0.8063283885902798,26,6,616,adam,False,0.14243096100816283
47,0.1502047240696619,55,35,630,adam,False,0.12258976648919968
60,0.18569574208980255,91,68,252,adam,False,0.09964894420319621
14,0.044336535925290466,91,75,741,adam,False,0.2540547724152487
60,0.5265862388476739,97,68,262,adam,False,0.11258079059574902
48,0.6325204425304521,52,73,75,adam,False,0.17519576677063334
40,0.1719469706973772,22,7,720,adam,False,0.1449390328317422
61,0.45993363447596963,10,48,247,adam,False,0.17074289516494276
23,0.09112186642479464,86,17,755,adam,False,0.15883185602653288
36,0.5975929886640318,70,12,741,adam,False,0.16206494215794137
12,0.7215334218759396,36,113,178,adam,False,0.4379236076736415
11,0.20813094270641375,30,106,769,adam,False,0.1929995390063493
63,0.5031168939273244,42,10,812,adam,False,0.16613764079834517
60,0.7846049868059997,47,63,499,adam,False,0.25824342808595624
51,0.8763956048825585,11,68,198,adam,False,0.17371470531028743
43,0.41351907304119484,57,67,944,adam,False,0.1027297488574124
53,0.2623466395641988,8,79,67,adam,False,0.2774312910309359
58,0.35223588931756833,49,27,185,adam,False,0.14227302756175547
41,0.6244221285023458,63,51,252,adam,True,0.9953019663403866
54,0.0980373998964355,53,39,527,rmsprop,False,0.1267895258836082
16,0.5339395908249083,90,43,728,adam,False,0.12019568659404185
3,0.4550913556993755,12,109,265,rmsprop,True,1.1370729477349664
42,0.20947669694703502,91,70,583,adam,False,0.16608394009449937
21,0.686181596577508,1,30,653,adam,True,0.8625473143796892
4,0.8564074718411796,81,92,729,rmsprop,False,0.03902224438262467
39,0.9342779127954547,81,92,691,rmsprop,True,1.047329450582636
33,0.8760957864854968,54,87,303,rmsprop,False,0.10821818423740574
4,0.7580792006708578,44,22,667,rmsprop,False,0.18229546395853385
45,0.9708996683192218,95,97,572,rmsprop,True,0.8980258018918666
38,0.8527279640856824,81,84,707,rmsprop,False,0.136887752272749
30,0.8281256307107415,88,57,182,rmsprop,False,0.06700417039707353
5,0.9266565649094415,88,57,401,rmsprop,True,0.7036692620874235
37,0.9997268024268483,69,82,100,rmsprop,False,2.397156863076894
30,0.8106635304345933,24,92,519,rmsprop,False,0.09490781635389797
50,0.6588984802819998,18,117,648,rmsprop,False,0.30411962109668245
62,0.7308779620231712,64,9,201,rmsprop,True,1.1166991183627375
49,0.8479044965960123,21,13,311,rmsprop,False,0.15148498730888835
1,0.9153899461046967,33,112,882,rmsprop,False,0.2570388416023061
8,0.9700205055782793,25,57,456,rmsprop,False,0.14503945878297456
4,0.8293227454599206,88,98,323,rmsprop,True,1.2822976831923598
