batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
63,0.0019040428204544213,86,9,37,rmsprop,False,0.31547482923199566
32,0.5176012067037745,82,22,689,adam,False,0.3250474693050573
40,0.1443456719966414,70,80,315,adam,True,0.7424943031613198
25,0.6437019780826327,6,52,870,rmsprop,False,0.7987381706607997
14,0.16207765842674138,8,50,170,adam,False,0.8168331883574943
31,0.6572018893957702,54,103,737,adam,False,0.43112405729973846
40,0.49903870529766836,56,36,753,adam,False,0.5914554573405811
13,0.04328134224878355,17,109,460,rmsprop,True,1.0305036340913012
63,0.8142822262162107,41,61,918,adam,False,0.62833513433646
61,0.6094192060933099,47,83,512,rmsprop,False,0.3087104053003838
16,0.19546162017191604,35,55,859,adam,False,0.5343758534035219
60,0.5052589933293241,87,20,930,rmsprop,True,1.0636428350802398
53,0.8148866852835027,68,39,596,adam,True,1.3105491752788136
48,0.949617782735569,71,72,961,adam,False,0.7139810952953864
55,0.45282696544743706,62,58,507,rmsprop,True,0.9385677253403808
61,0.9778007506713946,91,49,159,adam,True,0.7321831863641394
20,0.3225414692052162,6,87,889,rmsprop,False,2.140582412396893
60,0.044350995662450376,5,26,753,adam,False,0.3101768011049706
61,0.48312436515050194,37,57,855,adam,True,0.7303476532131631
54,0.9035233478393666,15,59,514,adam,False,0.5719036962967616
33,0.3411728076511787,5,83,604,rmsprop,False,2.192600301556559
41,0.6407497674170175,25,115,454,rmsprop,False,0.9447946591996068
50,0.7475813021746327,38,7,642,rmsprop,False,0.363899414578314
62,0.34699237652072284,47,69,950,rmsprop,False,0.49287919718355344
11,0.5930716322332265,1,8,119,rmsprop,False,0.5907997794916338
52,0.2814479965702613,59,112,125,rmsprop,False,0.6371792723353065
7,0.4190202031643847,73,26,630,rmsprop,False,0.31251308662539073
42,0.07855371725586817,50,56,519,adam,False,1.0667114921667216
5,0.26268106398156243,47,34,337,rmsprop,False,0.659549624434072
1,0.7217551956114905,76,5,512,adam,False,0.41905991690535355
57,0.5681215823408889,81,13,414,rmsprop,False,0.3216120598519362
34,0.4094128489850392,29,12,927,adam,False,0.31247862100750706
49,0.8675755179703477,51,83,759,rmsprop,False,0.5982738101324758
22,0.01758589860820259,84,45,289,adam,True,1.2070887274969415
29,0.7263648946457382,40,113,546,adam,False,1.179569077502014
9,0.5649178179047935,12,54,109,rmsprop,False,0.5395965239629698
10,0.17575095598208243,88,15,829,adam,False,0.2941667139454121
28,0.10803506615453576,44,31,316,adam,True,0.9294019622771279
27,0.22860401317268064,89,15,147,rmsprop,False,0.31015267982756006
10,0.17278905372982217,20,73,829,adam,False,0.733894163024494
24,0.6700906284650868,10,111,542,rmsprop,False,0.7663661041685257
12,0.3859770127165011,88,77,247,adam,True,1.0795440255820397
3,0.7952456259895937,3,102,659,adam,False,3.652212020248514
23,0.12775860437251668,69,90,938,rmsprop,False,0.8815755245224196
21,0.596514540087787,19,92,398,adam,True,0.5994951604539288
58,0.5311586675607243,28,66,868,rmsprop,False,0.22772506614934535
58,0.28856129652420465,28,66,212,adam,False,0.5394834829759019
6,0.5324661088018603,28,37,852,rmsprop,True,0.8243029461942666
8,0.20902525404408667,21,44,570,adam,False,0.39093043943984895
36,0.6821078648642613,99,27,677,rmsprop,False,0.34534018785523163
4,0.4507595684392073,95,40,968,adam,True,1.2779614429766366
58,0.48195921118888135,49,70,130,rmsprop,False,0.7493599160160078
38,0.3715981836120112,88,104,537,adam,False,0.7671292373529163
45,0.5310321870133896,9,97,934,rmsprop,False,0.9492593507260605
56,0.24478816927590136,98,66,65,adam,True,1.0527114642786422
43,0.3060247460950728,16,25,341,rmsprop,False,0.33171944964961
15,0.6294021542015322,96,85,612,adam,False,0.9286447724276273
35,0.08387676471748329,48,15,529,rmsprop,False,0.3329827231430258
51,0.0065981490756631955,74,82,959,adam,False,0.8339166849977726
59,0.16466753576697318,78,63,701,rmsprop,True,0.9951138271749794
37,0.7917153025143194,11,114,175,rmsprop,False,1.4860918403192396
19,0.8504962536577119,39,108,480,adam,False,1.118683538385849
30,0.4501597513237191,7,86,593,rmsprop,False,1.442285883906341
47,0.9668433743423421,63,30,977,adam,True,1.2110544845487383
18,0.3383349106603151,14,119,673,rmsprop,False,0.7292285265811875
46,0.7620370273134311,60,101,297,rmsprop,False,0.7079096305874383
61,0.6998946924854833,79,79,931,rmsprop,False,2.3941163534257774
10,0.6045845279393244,23,94,512,rmsprop,False,0.650211096061763
2,0.5580109431546808,43,11,868,rmsprop,False,0.7370764338462458
26,0.6271395123623523,24,35,57,rmsprop,False,0.4770935439265891
25,0.912939484514493,66,32,798,rmsprop,False,0.4733748977510744
31,0.5024502792025759,33,96,403,rmsprop,False,2.124433232059529
39,0.41057844082892553,61,38,743,rmsprop,False,0.3668742173014864
14,0.47828123868584693,93,21,256,rmsprop,False,0.33502852841714803
32,0.3687945944655431,90,81,350,rmsprop,False,0.22681751410948636
44,0.2619008213567206,27,81,719,rmsprop,False,0.21468583827055734
32,0.3611882087465281,75,81,567,rmsprop,False,0.3238850475239112
13,0.31686173469897916,52,41,376,rmsprop,False,0.6192861403232378
32,0.2656966348359245,27,81,325,rmsprop,False,0.1513196410658933
