batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
58,0.6641251665982354,34,94,982,adam,False,0.18474378581830125
45,0.8036164925786051,6,90,78,adam,True,1.1725236881389658
13,0.9539658340563175,61,50,842,adam,True,0.6314500949927414
59,0.110936664852191,34,46,678,adam,False,0.09830837686380137
27,0.049011682865531925,86,26,291,adam,True,1.2309843006206374
12,0.4627700762713829,16,84,847,adam,False,0.07393066479265926
35,0.22403584099235907,38,68,627,rmsprop,True,0.6685357929219773
50,0.052630458388290724,28,98,719,adam,False,0.08445632992486699
8,0.8150788133118811,69,87,598,adam,True,1.1159177244180785
37,0.5686964724132086,71,46,392,rmsprop,False,0.21177609537064362
25,0.09981794356628249,15,108,604,adam,False,0.12918248173175098
55,0.5787685544015311,24,85,919,adam,True,0.8498612472720616
38,0.05357401860953426,46,9,304,adam,False,0.16766385318742702
43,0.2720132411233045,13,109,740,rmsprop,True,0.6157082617927786
21,0.35007911811150705,8,109,985,rmsprop,True,0.9420978404269557
60,0.06171112667986023,2,42,915,rmsprop,False,0.1444744078815509
10,0.028851464076058764,5,57,79,rmsprop,False,0.18264537649155377
16,0.061707995632388934,47,57,925,adam,True,1.39464521891888
30,0.605990421106349,50,80,218,adam,True,0.6260584009110717
26,0.11187520850232735,65,74,195,adam,False,0.10478394876424171
50,0.4124302043491245,53,41,70,adam,False,0.17919650321903235
52,0.42806207055671713,16,98,640,adam,False,0.08807845472538393
12,0.20303179311112712,12,37,810,adam,False,0.09393863835966385
41,0.991953398049195,28,84,129,adam,False,0.43620571384155016
47,0.7462093341394764,83,62,134,adam,False,0.16980171982509315
22,0.45267722110803904,56,69,649,adam,False,0.20023943439421768
1,0.3372261474996616,30,81,468,adam,False,0.2570919538011335
54,0.9113446045334699,78,63,413,adam,False,0.19499864541976472
9,0.6633546117846101,16,78,97,adam,False,0.23552970040276242
62,0.5270232404763852,29,96,833,rmsprop,False,0.1385827422089482
15,0.19303297110128181,20,13,873,adam,False,0.17101289892379196
12,0.7327077533513227,36,32,167,adam,False,0.16633708335459602
14,0.8529336030539446,32,98,973,adam,False,0.33494412191221146
53,0.3451485862596191,77,84,755,adam,False,0.19134185318547864
63,0.4842075152116439,48,12,107,adam,False,0.17035844000978406
42,0.2766907799784024,31,115,376,rmsprop,False,0.09569829891036957
6,0.1578551428076912,27,44,783,adam,False,0.09491317166591334
39,0.6512172208005212,42,10,437,adam,False,0.16939866419550034
17,0.7419631440989065,40,30,603,adam,True,0.8022240210333905
7,0.5261419874034575,85,100,652,rmsprop,False,0.41588933238335574
44,0.007207996421661922,62,31,314,adam,True,0.8209604246856477
3,0.29248997568415686,25,43,520,adam,False,0.20972481697431605
5,0.9050413845730735,87,17,423,rmsprop,False,0.24677666402050794
29,0.13018331620709978,60,97,44,adam,True,0.6148189037968931
28,0.39588864577410854,57,118,874,rmsprop,False,0.21681071274812241
19,0.606770527891113,66,104,427,adam,True,1.339472747082453
4,0.8305316177991919,98,89,66,adam,False,0.34756905174499153
18,0.23946745072272863,28,111,719,adam,False,0.3044197791995016
50,0.704960442366297,95,82,147,rmsprop,True,1.0708284542293467
32,0.38359711935522417,93,5,859,adam,False,0.19685544561828477
31,0.7794491004513968,9,102,857,adam,False,0.1206487070963734
24,0.16588696383862267,49,106,49,rmsprop,True,1.058501727085504
49,0.007235390526609209,75,18,552,adam,False,0.16482240963296343
11,0.45480392964570343,96,67,847,adam,False,0.30687647321480316
51,0.9973096074116,22,61,754,adam,False,0.49583422356313467
40,0.08842264304010383,19,110,280,adam,True,1.1651947533359988
33,0.31385076278706214,58,28,555,rmsprop,False,0.1508194251150474
61,0.23596589127959844,97,51,804,adam,False,0.14600275013688024
48,0.524074754031741,91,48,527,adam,False,0.19659425156153618
56,0.6154939195854353,72,72,593,adam,True,0.9017182942734646
20,0.5586177033931102,4,107,422,rmsprop,False,0.18383117040321426
2,0.06577624806698226,70,56,791,adam,False,0.4035616722220799
36,0.9480163471329834,7,86,844,adam,False,0.2921125698581316
23,0.3692577401517504,81,64,272,adam,False,0.1258419117112205
34,0.44289246492517814,23,36,779,adam,True,1.2509656351478813
45,0.4297816047596366,35,47,316,adam,False,0.11295836190781423
12,0.4896209250142627,16,98,961,adam,False,0.34377847955562124
59,0.6347408299506379,39,52,868,adam,False,0.14508814220931965
52,0.6982609041376753,16,98,786,adam,False,0.1251438483318677
57,0.5671528263292038,11,83,834,adam,False,0.11862063485744609
46,0.33199181948955536,54,77,832,adam,False,0.17399403765595617
58,0.2516630406337541,67,15,163,adam,False,0.15235254566444958
52,0.2160150170603593,74,35,308,adam,False,0.15711861498942453
