SvyDate,Date,Dmgrph,DmgrphCode,Mean_crrnt,Pop,PopNmbr
2019-7-15_2019-9-8,9/8/2019,BOUCLE-DU-MOUHOUN,900712,30.9217,1816310,561633
2019-7-15_2019-9-8,9/8/2019,CASCADES,900713,22.7324,755896,171833
2019-7-15_2019-9-8,9/8/2019,CENTRE,900714,22.09378,2623394,579606
2019-7-15_2019-9-8,9/8/2019,CENTRE-EST,900715,44.18605,2623394,1159174
2019-7-15_2019-9-8,9/8/2019,CENTRE-NORD,900716,61.94884,1551284,961002
2019-7-15_2019-9-8,9/8/2019,CENTRE-OUEST,900717,37.85264,1510412,571730
2019-7-15_2019-9-8,9/8/2019,CENTRE-SUD,900718,45.02092,801374,360785
2019-7-15_2019-9-8,9/8/2019,EST,900719,51.91793,1633891,848282
2019-7-15_2019-9-8,9/8/2019,HAUTS-BASSINS,900720,15.69571,1983881,311384
2019-7-15_2019-9-8,9/8/2019,NORD,900721,44.60564,1500082,669121
2019-7-15_2019-9-8,9/8/2019,PLATEAU-CENTRAL,900722,44.77659,872851,390832
2019-7-15_2019-9-8,9/8/2019,SAHEL,900723,36.42857,1282223,467095
2019-7-15_2019-9-8,9/8/2019,SUD-OUEST,900724,36.2381,796535,288649
2019-7-16_2019-9-9,9/9/2019,BOUCLE-DU-MOUHOUN,900712,31.10393,1816310,564943
2019-7-16_2019-9-9,9/9/2019,CASCADES,900713,23.83459,755896,180164
2019-7-16_2019-9-9,9/9/2019,CENTRE,900714,21.56779,2623394,565808
2019-7-16_2019-9-9,9/9/2019,CENTRE-EST,900715,43.90676,2623394,1151847
2019-7-16_2019-9-9,9/9/2019,CENTRE-NORD,900716,62.25956,1551284,965822
2019-7-16_2019-9-9,9/9/2019,CENTRE-OUEST,900717,37.5657,1510412,567396
2019-7-16_2019-9-9,9/9/2019,CENTRE-SUD,900718,44.07216,801374,353182
2019-7-16_2019-9-9,9/9/2019,EST,900719,53.05476,1633891,866856
2019-7-16_2019-9-9,9/9/2019,HAUTS-BASSINS,900720,17.36668,1983881,344534
2019-7-16_2019-9-9,9/9/2019,NORD,900721,44.78044,1500082,671743
2019-7-16_2019-9-9,9/9/2019,PLATEAU-CENTRAL,900722,44.84152,872851,391399
2019-7-16_2019-9-9,9/9/2019,SAHEL,900723,36.70951,1282223,470697
2019-7-16_2019-9-9,9/9/2019,SUD-OUEST,900724,35.82863,796535,285387
2019-7-17_2019-9-10,9/10/2019,BOUCLE-DU-MOUHOUN,900712,32.0303,1816310,581769
2019-7-17_2019-9-10,9/10/2019,CASCADES,900713,23.62324,755896,178567
2019-7-17_2019-9-10,9/10/2019,CENTRE,900714,18.63057,2623394,488753
2019-7-17_2019-9-10,9/10/2019,CENTRE-EST,900715,41.93071,2623394,1100007
2019-7-17_2019-9-10,9/10/2019,CENTRE-NORD,900716,61.38518,1551284,952258
2019-7-17_2019-9-10,9/10/2019,CENTRE-OUEST,900717,38.05868,1510412,574842
2019-7-17_2019-9-10,9/10/2019,CENTRE-SUD,900718,44.53125,801374,356861
2019-7-17_2019-9-10,9/10/2019,EST,900719,52.19261,1633891,852770
2019-7-17_2019-9-10,9/10/2019,HAUTS-BASSINS,900720,16.50024,1983881,327345
2019-7-17_2019-9-10,9/10/2019,NORD,900721,44.04698,1500082,660740
2019-7-17_2019-9-10,9/10/2019,PLATEAU-CENTRAL,900722,44.11489,872851,385057
2019-7-17_2019-9-10,9/10/2019,SAHEL,900723,36.33588,1282223,465907
2019-7-17_2019-9-10,9/10/2019,SUD-OUEST,900724,36.25421,796535,288777
2019-7-18_2019-9-11,9/11/2019,BOUCLE-DU-MOUHOUN,900712,32.1673,1816310,584257
2019-7-18_2019-9-11,9/11/2019,CASCADES,900713,23.37467,755896,176688
2019-7-18_2019-9-11,9/11/2019,CENTRE,900714,20.02577,2623394,525354
