AdminStrata,Al-Hasakeh,Aleppo,Ar-Raqqa,As-Sweida,Damascus,Dar'a,Deir-ez-Zor,Hama,Homs,Lattakia,Quneitra,Rural Damascus,Tartous
Indicator,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2018-08-31,36.7731,21.6191,,27.2206,25.0221,47.619,,25.7685,25.8321,30.5158,,27.6534,25.9615
2018-09-01,36.7731,22.5137,,26.4095,25.245,47.619,,26.0448,26.1833,30.5158,,27.7,26.4706
2018-09-02,35.1054,21.916999999999998,,26.7267,23.493000000000002,45.5408,,22.893,22.1774,30.5158,,27.8404,27.2397
2018-09-03,34.9558,21.434,,25.2794,26.5537,45.2575,,21.0922,19.1098,28.4737,,27.2319,25.4501
2018-09-04,36.4508,21.3653,,27.5013,28.3126,46.1978,,18.8424,16.9372,29.9206,,28.6953,26.2966
2018-09-05,36.6617,21.0905,,27.4209,30.750999999999998,45.3799,,19.4741,18.2171,32.7441,,27.8059,26.4901
2018-09-06,37.3779,21.5619,,27.8335,31.1191,45.5893,,18.9742,17.8484,33.5634,,27.8753,27.5986
2018-09-07,38.81,21.8346,,28.2587,30.7017,46.09,,17.8577,16.0207,33.8843,,28.4193,27.4074
2018-09-08,37.0404,22.4038,,25.1316,31.1938,43.5112,,21.6599,20.8828,30.2385,,27.8624,27.2259
2018-09-09,37.6894,19.8844,,24.8431,32.3068,44.1996,,22.863000000000003,23.6386,29.6392,,26.5672,27.6253
2018-09-10,37.9118,19.5389,,27.1657,32.1754,44.2425,,23.2788,23.7722,29.9672,,27.0072,28.1665
2018-09-11,41.0378,20.6,,26.0027,31.2945,47.8179,,27.4444,29.2043,32.2781,,28.3878,29.4518
2018-09-12,39.3723,20.6297,,24.6443,32.9637,48.2617,,28.1993,29.729,32.3777,,29.6055,31.8392
2018-09-13,38.1558,20.0318,,24.4455,34.2486,45.6336,,28.7272,30.4,33.6465,,29.0946,30.0289
2018-09-14,38.5144,20.1362,,22.6534,35.0932,47.3012,,27.8371,28.9971,31.5508,,30.0419,26.7253
2018-09-15,38.3097,19.3244,,22.7362,33.6186,60.3577,,28.1573,28.2219,31.3209,,29.875,23.5526
2018-09-16,33.4134,19.284000000000002,,19.7441,32.2196,42.2324,,27.508000000000003,28.2219,31.9834,,31.7815,21.6667
2018-09-17,33.7006,18.9882,,19.8246,32.7869,41.2512,,27.508000000000003,28.2219,33.2657,,32.5792,20.9938
2018-09-18,33.7417,18.7,,20.3118,33.2378,39.3865,,27.6179,28.2219,34.0238,,31.9383,23.816999999999997
2018-09-19,35.7074,18.9668,,24.7737,31.337,53.9629,,27.0193,28.2219,34.4434,,31.0209,24.5928
2018-09-20,35.4071,19.6226,,26.4615,29.9443,39.0574,,27.0193,28.2219,36.1489,,30.7124,24.5519
2018-09-21,35.4071,19.6226,,26.4615,29.9443,39.0574,,27.0193,28.2219,36.1489,,30.7124,24.5519
2018-09-22,35.4071,19.4757,,25.4545,29.4359,39.0574,,27.0193,28.2219,37.1293,,30.7124,25.7294
2018-09-23,35.4071,19.4757,,26.7475,27.0986,38.354,,26.767,28.2219,36.3883,,30.2718,23.7164
2018-09-24,35.4071,19.4757,,28.4813,27.5938,37.2793,,26.3839,28.2219,35.9907,,30.014,23.2375
2018-09-25,34.0544,19.4212,,28.3095,27.0852,36.5113,,26.7076,28.3834,37.173,,30.2259,26.2332
2018-09-26,34.0544,19.5225,,29.6402,24.6306,35.6243,,26.3701,28.3834,37.47,,33.2136,26.4023
2018-09-27,34.0544,18.5261,,29.7994,26.1005,37.079,,26.2357,28.3834,38.269,,34.3281,25.9796
2018-09-28,34.0544,17.5363,,29.7994,27.2002,37.079,,25.5445,28.3834,38.3379,,33.8061,26.6284
2018-09-29,34.0544,16.6917,35.4295,27.1284,25.1436,38.7808,35.4295,25.6408,28.5058,39.3017,,35.3679,27.3199
2018-09-30,34.0544,16.0183,28.2303,27.0115,25.3056,37.4253,28.2303,26.0136,28.5058,38.596,,35.821,26.223000000000003
2018-10-01,33.6761,15.5211,28.2303,26.5175,24.9899,36.18,28.2303,26.8044,29.0561,38.3712,,35.8461,25.2249
2018-10-02,31.5457,15.4987,29.6992,27.7624,24.2781,38.0775,29.6992,28.4424,29.9164,38.3026,,36.6884,27.9288
2018-10-03,32.7672,15.6697,27.6224,27.7624,24.0466,39.0907,27.6224,28.7607,30.4319,37.4286,,36.0864,27.0827
2018-10-04,32.6087,16.0509,27.6224,27.3783,22.263,39.5895,27.6224,31.738000000000003,34.9254,39.8063,,37.2289,28.2616
2018-10-05,33.1681,15.6404,28.6232,26.7317,21.5046,39.6347,28.6232,34.5353,37.9387,39.0617,,37.5371,27.8586
2018-10-06,33.9306,16.1468,29.4776,28.2353,19.8802,39.1374,29.4776,35.8223,39.4334,35.0619,,37.5496,28.7487
2018-10-07,34.4432,15.5875,29.4776,29.2771,20.4609,38.5941,29.4776,39.385999999999996,43.6597,35.2941,,37.5699,26.9972
2018-10-08,34.0522,15.6369,32.0144,29.7406,20.3529,37.7786,32.0144,41.3615,45.8286,34.4461,,39.1158,27.4629
2018-10-09,34.3249,14.7882,34.375,30.0,20.8023,41.9663,34.375,41.1075,45.6947,36.4532,,39.1001,29.8976
2018-10-10,35.6612,14.4173,34.3234,30.5778,21.0262,42.3982,34.3234,41.0555,45.6287,35.8765,,41.9223,28.7277
2018-10-11,34.8837,14.3367,34.8993,31.2404,20.2403,42.1243,34.8993,40.8355,45.1574,35.1257,,42.2553,27.9511
2018-10-12,31.1935,13.7141,33.813,32.4841,19.5823,40.6281,33.813,41.6491,45.6081,34.9428,,42.0485,27.5357
2018-10-13,33.6776,13.8099,31.3433,32.6797,19.7782,42.4466,31.3433,42.2935,45.4414,33.6425,,42.4284,28.3542
2018-10-14,33.8454,14.4381,30.9582,33.0033,20.6923,44.1287,30.9582,43.118,46.4893,32.9997,,42.8692,28.0624
