Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,3735,17,4005,18,4284,17
2,3726,17,3996,17,4275,17
3,3717,17,3987,18,4266,17
4,3708,21,3978,17,4257,18
5,3699,17,3969,21,4248,21
6,3690,21,3960,19,4239,21
7,3681,22,3951,18,4230,21
8,3672,21,3942,21,4221,22
9,3663,18,3933,20,4212,22
10,3654,23,3924,18,4203,21
11,3645,22,3915,21,4194,21
12,3636,19,3906,18,4185,20
13,3627,22,3897,19,4176,22
14,3618,22,3888,20,4167,23
15,3609,22,3879,19,4158,24
16,3600,19,3870,17,4149,21
17,3591,23,3861,20,4140,19
18,3582,19,3852,17,4131,22
19,3573,19,3843,19,4122,19
20,3564,22,3834,19,4113,17
21,3555,22,3825,21,4104,19
22,3546,22,3816,19,4095,18
23,3537,21,3807,19,4086,19
24,3528,22,3798,21,4077,19
25,3519,21,3789,21,4068,18
26,3510,21,3780,21,4059,18
27,3501,21,3771,21,4050,19
28,3492,19,3762,21,4041,19
29,3483,21,3753,21,4032,19
30,3474,19,3744,21,4023,18
