Country,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon,Cameroon
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,
1,0.999601538670024,0.9999758501752699,0.9966667921667753,0.9992742405938385,0.9977307304805756,0.9992058088769074
2,0.9987643767611106,0.9995796821751795,0.9975419569772633,0.9988073465125953,0.997673957362225,0.9988297073143758
3,0.9984731527398096,0.9988392519652836,0.9957725484856482,0.998234142646867,0.9937824514113394,0.9955095737334078
4,0.9977262376146121,0.9987480040960183,0.9915627267751695,0.9961534301848987,0.9909161926374346,0.9943450429200652
5,0.996266257856691,0.9985512512023429,0.9920905959062317,0.9934786784699464,0.9853096516456875,0.9910981041516429
6,0.9945351490962512,0.9967861281751833,0.9912317647581943,0.9927820180551246,0.9752348616620883,0.9891821253128297
7,0.9870131445439436,0.9869005601810565,0.9889205321906301,0.9850227377811964,0.9658083380280507,0.9868997230136873
8,0.991270227258724,0.9889342401018343,0.9874518683031419,0.9852304875250951,0.9493848253656831,0.9807372315848246
9,0.991206422065548,0.9842309961151565,0.9826139969445273,0.9854514074818727,0.9317941349053069,0.9766419944885043
10,0.9915789175854163,0.9850640810628519,0.984707048413368,0.9853418156248658,0.9240154113371483,0.9781128068326589
11,0.9915482047091705,0.9873977165096856,0.9841453149060447,0.9866347502105264,0.910952151560455,0.9751722750161596
12,0.9919656133856226,0.9857088861522665,0.9863778430897051,0.9877308116306176,0.8882000775937339,0.9658991440889598
13,0.9882283147400037,0.9853084067019099,0.9802854358130573,0.979592980382648,0.8780366834579438,0.9606402923535677
14,0.9851392522282013,0.9767812386601381,0.9677527122323157,0.9740853930987236,0.8601235888902264,0.9505100877822168
15,0.980043170097741,0.9747774961945418,0.946697826407762,0.9585710622969853,0.8355829223299964,0.9418854710031812
16,0.973553857751404,0.9662014267012247,0.9358384372927544,0.946111493758721,0.78637957608591,0.9223870125114471
17,0.9696044583380629,0.9727953373357405,0.8887725296241868,0.9185589632758997,0.7797634844323056,0.9248710196869259
18,0.955105008011806,0.9617838613457234,0.8995386143148474,0.9209076332814977,0.7391739091780052,0.9289995003067643
19,0.9422680962977418,0.9594786802470305,0.8724199546669675,0.9008627406731673,0.7049456703640312,0.9231935527531316
20,0.9229301652553874,0.9543392615732732,0.8816342917514661,0.8817242247343662,0.6966602798671337,0.9251315927316687
21,0.8849900177741337,0.9457922857267487,0.8993430485682612,0.875065131023548,0.6704880350088309,0.9223953206329554
22,0.8668451735637165,0.9538657990022308,0.911463117208244,0.8711740450164643,0.6393278399004743,0.9112092846920137
23,0.8346378861437659,0.9370751381797777,0.9274854608940072,0.8732123891499459,0.6108030992346218,0.8981847362484002
24,0.8002549806206393,0.9311296219079708,0.9152344732169615,0.8484307609410935,0.5663395203140904,0.8960984145214743
25,0.7789518078773339,0.939478528517463,0.9203340813217451,0.8524782102740698,0.48727269956272423,0.8500840032099579
26,0.7654502657977998,0.9223224560330847,0.8928906205185514,0.7954479006617362,0.4577058719536351,0.8377441756532941
27,0.7735883444200675,0.8911393072433119,0.9050966370789715,0.8072178647476631,0.47036623982978654,0.8411985815426899
28,0.8368946293676293,0.8954798598520267,0.9140153421115903,0.8021841837778481,0.4988744508927643,0.8432452001560775
29,0.8741902774570096,0.8855687310228308,0.917981464062541,0.7598128299985629,0.46152165619077823,0.8139934786539208
30,0.8717461703513084,0.8675939144553515,0.8925090398533193,0.7436226801924462,0.48449427933281375,0.822082459817099
