Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Info,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features,training points,features
1,5983,17,6331,17,6703,18,7063,24,7435,19,7795,23,8167,21
2,5971,16,6319,19,6691,17,7051,24,7423,17,7783,22,8155,18
3,5959,19,6307,16,6679,19,7039,23,7411,23,7771,22,8143,23
4,5947,19,6295,16,6667,17,7027,17,7399,21,7759,17,8131,23
5,5935,19,6283,16,6655,21,7015,21,7387,22,7747,21,8119,17
6,5923,19,6271,16,6643,16,7003,22,7375,16,7735,22,8107,17
7,5911,19,6259,16,6631,17,6991,21,7363,23,7723,21,8095,19
8,5899,19,6247,16,6619,16,6979,22,7351,21,7711,23,8083,18
9,5887,19,6235,16,6607,16,6967,16,7339,23,7699,17,8071,17
10,5875,19,6223,16,6595,16,6955,22,7327,23,7687,22,8059,18
11,5863,19,6211,16,6583,16,6943,21,7315,21,7675,21,8047,18
12,5851,19,6199,19,6571,16,6931,16,7303,16,7663,22,8035,17
13,5839,19,6187,20,6559,16,6919,17,7291,16,7651,16,8023,17
14,5827,16,6175,19,6547,20,6907,16,7279,17,7639,18,8011,17
15,5815,19,6163,19,6535,16,6895,16,7267,21,7627,17,7999,17
16,5803,19,6151,20,6523,16,6883,21,7255,21,7615,23,7987,17
17,5791,19,6139,20,6511,20,6871,16,7243,21,7603,18,7975,19
18,5779,22,6127,19,6499,20,6859,16,7231,17,7591,22,7963,17
19,5767,21,6115,20,6487,20,6847,16,7219,16,7579,22,7951,17
20,5755,20,6103,21,6475,20,6835,16,7207,16,7567,17,7939,22
21,5743,20,6091,22,6463,20,6823,21,7195,17,7555,17,7927,22
22,5731,21,6079,20,6451,20,6811,16,7183,21,7543,17,7915,17
23,5719,20,6067,20,6439,20,6799,16,7171,16,7531,17,7903,17
24,5707,20,6055,21,6427,20,6787,16,7159,16,7519,22,7891,22
25,5695,20,6043,20,6415,20,6775,16,7147,17,7507,18,7879,22
26,5683,20,6031,20,6403,21,6763,16,7135,17,7495,16,7867,22
27,5671,25,6019,20,6391,20,6751,16,7123,16,7483,21,7855,22
28,5659,25,6007,20,6379,21,6739,16,7111,16,7471,23,7843,22
29,5647,21,5995,20,6367,20,6727,16,7099,18,7459,16,7831,22
30,5635,21,5983,20,6355,20,6715,16,7087,16,7447,22,7819,22
