Conv1,Conv2,Dense,Dropout,LSTM,batch_size,lags,3 Months Anomaly (%) Rainfall,1 Month Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,NDVI Anomaly,Rainfall (mm),rCSI,Lat,Lon,Population,Ramadan,epoch,val_loss,train_loss
37,1,52,0.018994745163455867,79,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,66,0.011802490800619125,0.0024503926649321237
22,4,66,0.12786455824509863,82,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,67,0.013098175637423992,0.0039395206085928195
60,3,13,0.09241197147942798,7,512,76,76,76,76,76,76,76,76,76,76,76,76,76,76,313,0.016980303451418877,0.005431604079478155
21,4,54,0.0756457410000202,62,512,96,96,96,96,96,96,96,96,96,96,96,96,96,96,131,0.011055739596486092,0.005948051329820402
5,1,46,0.10600873292233753,60,512,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0.015576180070638657,0.005585452098222006
47,4,99,0.05363797916042406,84,512,36,36,36,36,36,36,36,36,36,36,36,36,36,36,58,0.010160062462091446,0.0028988334543834375
61,3,32,0.015680910911369195,52,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,68,0.011505333706736565,0.0027246965274501304
62,2,61,0.007729988274984223,64,512,31,31,31,31,31,31,31,31,31,31,31,31,31,31,76,0.01192558091133833,0.002129750329524625
39,1,80,0.12010562784636206,74,512,21,21,21,21,21,21,21,21,21,21,21,21,21,21,70,0.010777626186609268,0.003837322774860594
32,4,39,0.13719542447567362,14,512,41,41,41,41,41,41,41,41,41,41,41,41,41,41,91,0.011065530590713024,0.005269499064276093
1,4,30,0.037620113457500146,3,512,86,86,86,86,86,86,86,86,86,86,86,86,86,86,216,0.011892540380358696,0.0049102821267179905
29,3,76,0.08426145998896029,37,256,51,51,51,51,51,51,51,51,51,51,51,51,51,51,77,0.012055179104208946,0.002244321249350153
53,1,50,0.04531151509970863,2,32,81,81,81,81,81,81,81,81,81,81,81,81,81,81,110,0.016494040315349897,0.0017874135989350854
33,4,12,0.026257955886571593,34,16,26,26,26,26,26,26,26,26,26,26,26,26,26,26,52,0.011501708813011647,0.0011998490001426348
50,2,74,0.15524726683970055,72,512,36,36,36,36,36,36,36,36,36,36,36,36,36,36,84,0.01016870979219675,0.003406262615074714
42,3,64,0.006518777703378914,40,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,72,0.012511697597801685,0.0007285607663695426
52,4,89,0.11715405722722616,96,256,91,91,91,91,91,91,91,91,91,91,91,91,91,91,60,0.011716392822563648,0.004452569703929699
31,4,60,0.1411992167258663,28,16,56,56,56,56,56,56,56,56,56,56,56,56,56,56,121,0.0075888337877889475,0.000806178160513054
49,3,63,0.16049224351794805,41,512,76,76,76,76,76,76,76,76,76,76,76,76,76,76,66,0.022599786520004272,0.006850191706988385
21,1,62,0.09064515728627962,48,256,46,46,46,46,46,46,46,46,46,46,46,46,46,46,70,0.010644638910889626,0.0027056171460418214
16,4,57,0.06405528232142824,15,32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,0.009146677081783612,0.001619383430623877
3,2,71,0.10279639675921182,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,58,0.009218007201949756,0.0019205459978326959
43,3,45,0.12913446391634928,53,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,70,0.010636800900101662,0.004914459282525511
9,1,95,0.16927742566469664,4,64,71,71,71,71,71,71,71,71,71,71,71,71,71,71,58,0.014715461991727352,0.0025955456653204948
48,4,94,0.1832566579100151,29,512,96,96,96,96,96,96,96,96,96,96,96,96,96,96,94,0.013203442096710205,0.007081785356064164
55,4,49,0.219664126544746,54,8,36,36,36,36,36,36,36,36,36,36,36,36,36,36,55,0.009793003089725971,0.0017706827016225383
57,3,59,0.050009037183160195,77,256,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0.016267383471131325,0.0027061756788974716
15,1,58,0.1982305610410813,25,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,56,0.010812547492484252,0.001792513511382923
58,4,93,0.022381526148886624,86,512,31,31,31,31,31,31,31,31,31,31,31,31,31,31,68,0.011064630933105946,0.003094106097886151
41,2,4,0.07369892075856858,1,256,26,26,26,26,26,26,26,26,26,26,26,26,26,26,111,0.007351646665483713,0.010664364317561681
24,3,72,0.24198692740813432,35,32,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54,0.012431048353513082,0.00153805305075954
56,1,10,0.037017654053011245,97,16,41,41,41,41,41,41,41,41,41,41,41,41,41,41,56,0.010478331831594308,0.001495292393200655
61,4,2,0.09749250995150902,92,512,86,86,86,86,86,86,86,86,86,86,86,86,86,86,314,0.025917168706655502,0.028249102790829955
23,4,43,0.4999672324750891,18,64,36,36,36,36,36,36,36,36,36,36,36,36,36,36,58,0.008322128094732761,0.004935986951852041
30,3,19,0.466525187991894,61,8,81,81,81,81,81,81,81,81,81,81,81,81,81,81,64,0.009746283013373613,0.006721105459318669
46,1,29,0.15290143936414718,51,256,66,66,66,66,66,66,66,66,66,66,66,66,66,66,200,0.01219662930816412,0.0029363641548853098
36,4,11,0.059167209418748146,93,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,75,0.012324252165853977,0.005524071535579996
44,2,83,3.9322166713720574e-05,78,16,56,56,56,56,56,56,56,56,56,56,56,56,56,56,255,0.00862449041257302,0.00010123200384744753
19,1,65,0.4522798091309502,27,256,46,46,46,46,46,46,46,46,46,46,46,46,46,46,78,0.011582715436816216,0.004702276281548987
4,4,5,0.39272655476545043,11,32,26,26,26,26,26,26,26,26,26,26,26,26,26,26,71,0.00973857951660951,0.012552853823117502
21,4,36,0.40505863004213016,19,16,91,91,91,91,91,91,91,91,91,91,91,91,91,91,106,0.0084691625709335,0.003357041868357322
2,3,53,0.3316903778325351,55,512,11,11,11,11,11,11,11,11,11,11,11,11,11,11,79,0.006713549606502056,0.007502087896818635
11,1,90,0.31970957427046476,26,64,16,16,16,16,16,16,16,16,16,16,16,16,16,16,60,0.00817162822932005,0.0023862865778829646
13,4,3,0.012846673359770508,56,8,76,76,76,76,76,76,76,76,76,76,76,76,76,76,98,0.01150002960736553,0.0019024407417263564
34,3,41,0.22762287383287344,6,256,96,96,96,96,96,96,96,96,96,96,96,96,96,96,73,0.021227994933724403,0.00996047052007819
8,2,33,0.14527067726606924,39,512,71,71,71,71,71,71,71,71,71,71,71,71,71,71,103,0.014807476662099361,0.007432728415975968
21,1,88,0.11213559307660206,16,16,31,31,31,31,31,31,31,31,31,31,31,31,31,31,53,0.009007937895754973,0.0012717726497817063
27,4,27,0.18017153595687047,66,512,61,61,61,61,61,61,61,61,61,61,61,61,61,61,258,0.010600175708532333,0.0032195558194958026
38,4,44,0.25323676616455637,36,256,36,36,36,36,36,36,36,36,36,36,36,36,36,36,62,0.011503377929329872,0.0045420940639642774
61,4,87,0.27847597016485726,69,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.00803895853459835,0.0025627497843726797
61,4,92,0.28898640475588305,49,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,92,0.00752836965645353,0.001536595798726823
61,4,15,0.34163955806245294,43,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,85,0.0067890542559325695,0.00477275060344342
54,4,12,0.2602313491894072,44,512,21,21,21,21,21,21,21,21,21,21,21,21,21,21,117,0.009555642493069172,0.007030229932732052
28,4,85,0.27213572354921767,5,128,51,51,51,51,51,51,51,51,51,51,51,51,51,51,62,0.009956354275345802,0.0033672513256809023
17,4,69,0.3104124529686748,76,64,26,26,26,26,26,26,26,26,26,26,26,26,26,26,56,0.01083088293671608,0.0020891380453680135
10,4,98,0.35987119111350147,49,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,97,0.007401876617223024,0.0038438816115752353
63,4,77,0.2985979897682583,68,8,86,86,86,86,86,86,86,86,86,86,86,86,86,86,70,0.008818905397007862,0.0024393618131877595
45,4,25,0.21346296973599121,95,512,41,41,41,41,41,41,41,41,41,41,41,41,41,41,123,0.00966633390635252,0.0053147858482573114
35,4,28,0.23733657348266265,24,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,52,0.009381282826264698,0.002817147726254392
58,4,73,0.38131956799467887,2,128,66,66,66,66,66,66,66,66,66,66,66,66,66,66,53,0.02186218835413456,0.0051389757184664795
59,4,75,0.3256486533822468,75,512,81,81,81,81,81,81,81,81,81,81,81,81,81,81,63,0.024254577234387398,0.00923505448218849
18,4,82,0.2935884186990243,91,16,26,26,26,26,26,26,26,26,26,26,26,26,26,26,55,0.009140199609100818,0.0017049120440601538
37,4,6,0.3368713979524214,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,115,0.00615487052127719,0.009436072352658342
37,4,59,0.35248475709879296,1,32,56,56,56,56,56,56,56,56,56,56,56,56,56,56,78,0.007892927589515845,0.004113616403243174
25,4,6,0.4337908027372267,71,32,91,91,91,91,91,91,91,91,91,91,91,91,91,91,68,0.017927215496699015,0.017994937692315152
37,3,6,0.3770950334984895,1,32,46,46,46,46,46,46,46,46,46,46,46,46,46,46,93,0.025904890149831772,0.03230685132507567
37,1,26,0.3639399032897246,21,32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,0.007911002946396668,0.004243352659245801
22,4,8,0.37084039448423567,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,91,0.006105688369522492,0.00943930353298112
22,4,8,0.417512529941758,94,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,57,0.008018781182666619,0.007957682753815217
20,2,8,0.39930525057315003,73,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.0068683613402148085,0.007488723627540532
62,3,42,0.38796241125410025,70,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.009358043409883976,0.0030649238720525046
22,1,86,0.44297636924549344,67,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,128,0.006003861222416163,0.0021100967781277034
22,4,86,0.4423343762304661,47,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.008842406794428825,0.0025120330580115854
22,1,78,0.46416388252589247,98,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.007450610461334387,0.0027557283819599956
22,4,6,0.48756781748097,31,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,67,0.007656760513782501,0.013124601146927825
60,3,8,0.43506415636257867,89,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,0.007562344335019589,0.008398822122239493
39,4,40,0.4529159842038112,22,32,71,71,71,71,71,71,71,71,71,71,71,71,71,71,221,0.008869309164583682,0.003982815069510885
22,1,70,0.4260440023940833,90,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,53,0.008308693238844474,0.002548410633437508
22,4,86,0.4727700037006214,67,32,76,76,76,76,76,76,76,76,76,76,76,76,76,76,58,0.009585024851063887,0.0023151143611128615
1,3,91,0.45975744453006734,67,32,96,96,96,96,96,96,96,96,96,96,96,96,96,96,55,0.02602505435546239,0.029446960435736746
33,2,1,0.4087151695276571,88,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,57,0.02591485989590486,0.033066564304715815
40,4,7,0.38109380895929723,67,32,61,61,61,61,61,61,61,61,61,61,61,61,61,61,80,0.014776333359380563,0.015334176516071671
12,1,16,0.44809054503430046,42,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,67,0.0068275703117251394,0.005554196737740222
32,4,22,0.40912380890006994,32,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,56,0.009067150639990966,0.004971979756373912
5,3,38,0.397992138296757,30,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,62,0.008858749642968178,0.0036329754075945116
26,4,97,0.496084084329093,50,32,41,41,41,41,41,41,41,41,41,41,41,41,41,41,57,0.009058329400916894,0.0021852946415412845
47,1,86,0.48172324899127356,46,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.007465190254151821,0.0026261463750142594
50,4,20,0.37158183009380363,1,32,51,51,51,51,51,51,51,51,51,51,51,51,51,51,121,0.007356219893942277,0.00630938129951105
49,2,55,0.4146908211657893,87,32,66,66,66,66,66,66,66,66,66,66,66,66,66,66,131,0.008851546856264273,0.003194605441021374
52,3,81,0.4249047022719277,20,32,86,86,86,86,86,86,86,86,86,86,86,86,86,86,244,0.007550986142208179,0.0021338080654361396
14,4,34,0.43671486237276025,80,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,64,0.008833702032764753,0.0034030779142224005
53,1,48,0.4701465484380898,33,32,81,81,81,81,81,81,81,81,81,81,81,81,81,81,59,0.014050991522769134,0.006103017370871924
37,3,18,0.3669810480675185,83,32,56,56,56,56,56,56,56,56,56,56,56,56,56,56,101,0.010397048977514109,0.005714113797605689
3,4,24,0.3319871209859986,38,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,55,0.008419639927645524,0.0040822028540432815
29,1,56,0.3879590383070284,23,32,46,46,46,46,46,46,46,46,46,46,46,46,46,46,58,0.010536052100360394,0.00265292494903218
55,4,68,0.4452954393597986,63,32,91,91,91,91,91,91,91,91,91,91,91,91,91,91,83,0.009166225697845221,0.002461305838555862
43,3,51,0.353196110724864,7,32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,56,0.009335720601181189,0.0028262085779189312
16,2,35,0.03448303634170825,85,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,54,0.011218734520177047,0.0010291106226660385
22,4,47,0.4207537645442889,81,32,76,76,76,76,76,76,76,76,76,76,76,76,76,76,168,0.008823050061861674,0.002607262665330152
42,1,23,0.37045186766710125,12,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,0.006344158668071032,0.005395756205459973
23,4,52,0.3995567996417195,3,8,36,36,36,36,36,36,36,36,36,36,36,36,36,36,62,0.00831779877965649,0.0036199524324126695
48,3,9,0.4894076708944966,9,32,71,71,71,71,71,71,71,71,71,71,71,71,71,71,129,0.01172627992928028,0.011137702661579934
9,4,37,0.07855066023633728,13,16,96,96,96,96,96,96,96,96,96,96,96,96,96,96,52,0.014016819434861343,0.0014511178818620032
57,1,14,0.31897532887261315,2,32,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,0.014664526283740997,0.005991263594478369
41,4,66,0.4765703633821674,52,16,31,31,31,31,31,31,31,31,31,31,31,31,31,31,61,0.008749869652092457,0.0029740861053903435
44,2,96,0.4578529360455895,17,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,55,0.007854618659863869,0.0025891591871699863
24,3,99,0.3456646962393914,41,64,51,51,51,51,51,51,51,51,51,51,51,51,51,51,66,0.012767460197210312,0.0016712203965230724
30,4,32,0.39243743615533866,45,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,54,0.010920849007864794,0.0039054121951469117
46,1,13,0.4269634710043894,82,16,41,41,41,41,41,41,41,41,41,41,41,41,41,41,103,0.009982753234604994,0.008832153734309893
19,4,54,0.3589523459622982,57,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,55,0.007867733233918746,0.0026738481786991427
56,3,12,0.40656265199938246,79,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,57,0.010144093756874402,0.008754615764681695
36,4,50,0.02062749788764641,62,32,81,81,81,81,81,81,81,81,81,81,81,81,81,81,54,0.012169054336845874,0.0008504098358874519
15,1,39,0.44138668304826645,1,16,86,86,86,86,86,86,86,86,86,86,86,86,86,86,61,0.014487607342501482,0.00520159308247829
11,2,46,0.06392664497979098,14,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,57,0.015592527575790882,0.001673077073958672
4,3,61,0.0012877986623955062,74,8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,72,0.00948131970750789,0.00026333984076630713
27,4,80,0.3332137967854142,64,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.007309044556071361,0.0020452916885057727
8,1,74,0.45683571619974134,60,16,91,91,91,91,91,91,91,91,91,91,91,91,91,91,56,0.011508437804877758,0.00267639673458269
13,4,59,0.0867649315037274,28,32,46,46,46,46,46,46,46,46,46,46,46,46,46,46,57,0.008786961001654466,0.00113302915031309
2,3,89,0.050979448023251356,58,32,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,0.009928965630630652,0.001091881270034227
28,4,63,0.39829289740347334,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,56,0.011281345039606094,0.002635267027269545
22,1,62,0.43032554576839055,84,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.008431833920379479,0.002921961402582066
38,4,83,0.3746362655170843,54,64,76,76,76,76,76,76,76,76,76,76,76,76,76,76,302,0.01034031342715025,0.0015229055745057702
34,3,60,0.41516606483123114,34,8,36,36,36,36,36,36,36,36,36,36,36,36,36,36,52,0.00895444064711531,0.00300880127247239
10,4,31,0.354802307157775,37,32,71,71,71,71,71,71,71,71,71,71,71,71,71,71,55,0.010878932103514672,0.0031319106807527336
17,1,57,0.3090026816732064,53,16,96,96,96,96,96,96,96,96,96,96,96,96,96,96,84,0.010414811906715234,0.0020227282186083143
37,2,79,0.3256180114394167,96,32,61,61,61,61,61,61,61,61,61,61,61,61,61,61,216,0.008100003066162268,0.0014440466904835332
54,4,76,0.03313944909435177,72,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,52,0.00956182846178611,0.0009513954818668263
35,3,71,0.4964279057122177,40,16,31,31,31,31,31,31,31,31,31,31,31,31,31,31,52,0.009713705877463024,0.0033625951740717474
22,4,95,0.46491371906507717,86,32,21,21,21,21,21,21,21,21,21,21,21,21,21,21,57,0.009314304900666077,0.002168825773858569
45,1,64,0.010165203292270348,51,8,41,41,41,41,41,41,41,41,41,41,41,41,41,41,52,0.013074558352430661,0.00044774406497916124
59,4,6,0.3397691842155076,29,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,64,0.007291698362678289,0.007088789866549206
26,3,58,0.36376225308307264,1,64,51,51,51,51,51,51,51,51,51,51,51,51,51,51,91,0.010622691363096237,0.005669260961050638
63,2,4,0.04476204512896806,97,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,52,0.008936581884821255,0.0035012241675223344
25,4,53,0.3894679985455007,35,32,86,86,86,86,86,86,86,86,86,86,86,86,86,86,66,0.011507499155898888,0.00243810091558243
51,1,8,0.4776339070994469,48,32,81,81,81,81,81,81,81,81,81,81,81,81,81,81,67,0.016735914225379626,0.017116085688273112
18,4,49,0.10379525455358403,10,16,66,66,66,66,66,66,66,66,66,66,66,66,66,66,189,0.009467918239533902,0.0008284500231692458
47,4,93,0.31823004479891015,27,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.007185638416558504,0.002210146470649822
20,1,45,0.12305612715452798,4,512,56,56,56,56,56,56,56,56,56,56,56,56,56,56,63,0.012322181835770607,0.0081376137059243
12,4,15,0.40928190063748093,99,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,51,0.007899039673308532,0.0056821564820144065
62,3,94,0.49926239281367235,93,32,46,46,46,46,46,46,46,46,46,46,46,46,46,46,56,0.009804893222947916,0.0026453129256345295
40,2,72,0.3496257956488518,67,16,26,26,26,26,26,26,26,26,26,26,26,26,26,26,53,0.008920527528971434,0.0023525975143107083
32,4,21,0.28988537602463904,11,32,91,91,91,91,91,91,91,91,91,91,91,91,91,91,107,0.010821393008033435,0.003487939817401079
50,1,11,0.42100252512462183,25,512,6,6,6,6,6,6,6,6,6,6,6,6,6,6,168,0.008140617050230503,0.010287428990722419
1,4,92,0.3828240486330078,56,32,76,76,76,76,76,76,76,76,76,76,76,76,76,76,57,0.012784399775167305,0.002001148566596089
61,3,3,0.3013352509151891,55,16,71,71,71,71,71,71,71,71,71,71,71,71,71,71,55,0.016378681610027947,0.015640977340871873
33,4,90,0.02334896252879066,16,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,52,0.009094824579854806,0.000703859364291952
53,1,65,0.40111287506825055,2,64,16,16,16,16,16,16,16,16,16,16,16,16,16,16,71,0.00836297869682312,0.004948789884855744
14,4,19,0.0687206624590705,26,512,96,96,96,96,96,96,96,96,96,96,96,96,96,96,127,0.015537393279373646,0.008732254250300308
37,3,43,0.43369432108661193,61,32,61,61,61,61,61,61,61,61,61,61,61,61,61,61,68,0.009714389964938164,0.0035840134790522003
52,2,33,0.2718049949255548,1,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,139,0.005825611545393864,0.00525959234491729
52,2,2,0.26629673570577833,1,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,111,0.02587797443072001,0.03258080669474584
5,2,98,0.2686488617838765,77,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.009032992242525021,0.0016598156970427805
52,2,33,0.22298238845710905,1,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,81,0.006987738516181707,0.005480965523765207
52,2,25,0.27964884427520903,71,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,71,0.008674109804754455,0.002853701515444876
39,2,36,0.3065044986426707,66,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.007887652547409137,0.002597215382295574
29,2,33,0.29154999285845573,5,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,0.008454075859238705,0.003171060781565134
52,2,33,0.206911092575558,1,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,104,0.0059804660578568775,0.005025371490046382
52,2,33,0.16728708641345008,44,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,51,0.008788429976751408,0.0020593276036925635
52,2,29,0.21449984821564277,69,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,52,0.007685744622722268,0.002349150486083494
42,2,17,0.1345260828552695,1,8,21,21,21,21,21,21,21,21,21,21,21,21,21,21,92,0.006777231643597285,0.005918697573846051
52,2,77,0.19440423112715707,39,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,52,0.008171277927855651,0.0017780213884814361
52,2,59,0.20266190414994895,76,8,26,26,26,26,26,26,26,26,26,26,26,26,26,26,55,0.011803785711526871,0.0016858859962507427
31,2,33,0.18603506930249436,95,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,0.00859871511347592,0.002242729411664623
49,2,41,0.2369662540891292,43,8,51,51,51,51,51,51,51,51,51,51,51,51,51,51,127,0.007515383263429006,0.0019436780616142457
22,2,33,0.16823866416136488,65,8,86,86,86,86,86,86,86,86,86,86,86,86,86,86,52,0.01002592855753998,0.0021389654088985696
3,2,88,0.17948776383421242,36,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,56,0.00755313568127652,0.0015532399312377693
55,2,26,0.21115513139729017,6,8,81,81,81,81,81,81,81,81,81,81,81,81,81,81,57,0.013487388131519158,0.004559684077415753
43,2,27,0.15546064665108653,90,8,41,41,41,41,41,41,41,41,41,41,41,41,41,41,56,0.009940232957402866,0.0019455340441230586
48,2,16,0.2570067625835596,22,8,66,66,66,66,66,66,66,66,66,66,66,66,66,66,103,0.008537314304461082,0.005330237502755682
52,2,85,0.14511572548870016,88,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,0.008348964325462779,0.0012908291989341713
9,2,82,0.2276601583115082,94,8,91,91,91,91,91,91,91,91,91,91,91,91,91,91,64,0.00994725562632084,0.0013684394878323357
16,2,75,0.19608156753818007,98,8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,53,0.008383813314139843,0.0012741114301708797
57,2,42,0.11973345341516267,18,8,46,46,46,46,46,46,46,46,46,46,46,46,46,46,52,0.009151002826790015,0.0016067979145169852
24,2,33,0.27719743631801086,68,8,26,26,26,26,26,26,26,26,26,26,26,26,26,26,55,0.008764861850067973,0.002726515229269453
23,2,28,0.2049672777474183,73,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,53,0.009677208207237224,0.002185645821261214
44,2,69,0.250461436172719,1,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,62,0.006288938418341179,0.005127217988945074
19,2,91,0.1360925797525531,24,8,16,16,16,16,16,16,16,16,16,16,16,16,16,16,53,0.009731736313551665,0.0012551636340960295
36,2,22,0.17292386089308925,50,8,71,71,71,71,71,71,71,71,71,71,71,71,71,71,135,0.007635908573865891,0.003431518751270799
56,2,67,0.16306300805800172,89,8,76,76,76,76,76,76,76,76,76,76,76,76,76,76,60,0.007765878333399693,0.0015682699199485767
46,2,8,0.22266869442088122,75,8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,58,0.014499179615328709,0.012556283170771268
41,2,1,0.13041201744313247,59,512,61,61,61,61,61,61,61,61,61,61,61,61,61,61,269,0.0142404455691576,0.011168029620533898
11,2,38,0.28415808194555237,21,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,54,0.00962706133723259,0.0025656334962835675
7,2,7,0.19370876366705128,42,8,31,31,31,31,31,31,31,31,31,31,31,31,31,31,56,0.010756905563175679,0.006241190104651474
15,2,86,0.1519361071633653,67,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,79,0.014290559105575085,0.003547055360216361
22,2,84,0.4842917012897318,30,8,21,21,21,21,21,21,21,21,21,21,21,21,21,21,52,0.008417919681717952,0.0027631372931258133
4,2,81,0.26241993414851583,47,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,0.00729918759316206,0.002339038510552353
13,2,73,0.1036162995878129,91,512,51,51,51,51,51,51,51,51,51,51,51,51,51,51,113,0.013278172351419926,0.0026694801673669407
38,2,55,0.45877312136865134,46,8,41,41,41,41,41,41,41,41,41,41,41,41,41,41,54,0.009807445279633006,0.003637543990860873
8,2,6,0.3347794204781674,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,141,0.0061707595052818455,0.00980963331210922
37,2,24,0.3256641883214108,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,141,0.0058322799702485405,0.007101590181323322
30,2,47,0.31774281019215916,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,161,0.005292431451380253,0.005589310719433042
30,2,78,0.3115165325458079,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,174,0.005158625232676665,0.004402180460726356
30,2,20,0.3115982818469595,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,121,0.006410793773829937,0.006282537005416624
30,2,24,0.3016040051272977,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,138,0.00447395679851373,0.005946368336476184
30,2,24,0.29750276801692194,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,134,0.006055927711228529,0.006345694420394955
61,2,24,0.3198884657692747,83,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,55,0.008712034051616987,0.003860536549350823
30,2,40,0.3008303793055811,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,215,0.005303091959406933,0.005510810645459382
30,2,48,0.272586452135318,8,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,58,0.008793008824189505,0.0028913627731034885
2,2,78,0.30707827654032127,17,32,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,0.011451110367973645,0.002039687913812457
30,2,78,0.28554699417840157,32,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,52,0.007842031059165795,0.002009627398371965
30,2,47,0.24954614620303145,87,32,81,81,81,81,81,81,81,81,81,81,81,81,81,81,140,0.00949614221851031,0.0018503986074830648
30,2,40,0.26823932332606104,33,32,66,66,66,66,66,66,66,66,66,66,66,66,66,66,84,0.01188758077720801,0.0020442521528286095
30,2,70,0.2780542197218156,1,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,97,0.005327050356815259,0.0052400939832175815
30,2,23,0.28359528079929724,9,32,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,0.0109040309364597,0.004582091218338964
30,2,70,0.3206261447603935,20,32,91,91,91,91,91,91,91,91,91,91,91,91,91,91,61,0.012452744071682294,0.0024957483795543128
