Conv1,Conv2,Dense,Dropout,LSTM,batch_size,lags,3 Months Anomaly (%) Rainfall,1 Month Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,NDVI Anomaly,Rainfall (mm),rCSI,Lat,Lon,Population,Ramadan,epoch,val_loss,train_loss
57,3,83,0.006087969380623448,43,512,26,26,26,26,26,26,26,26,26,26,26,26,26,26,66,0.013014396652579308,0.0017750105603969906
21,3,12,0.03314005919955221,2,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,72,0.0062239228126903376,0.003728736462953037
22,3,12,0.07233347062852245,2,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,88,0.00824757165585955,0.0031544257769813384
21,3,4,0.0842586129688012,35,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,53,0.025971800523499646,0.033168287860481656
9,3,53,0.3937866281545134,40,16,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,0.011033296088377635,0.002646036543043666
48,1,65,0.0737522348352772,11,256,91,91,91,91,91,91,91,91,91,91,91,91,91,91,62,0.014015563763678074,0.004734436174233755
41,3,12,0.12052956026142035,27,16,86,86,86,86,86,86,86,86,86,86,86,86,86,86,137,0.011551042397816976,0.0038892032298189338
24,3,72,0.03931957412458458,97,16,61,61,61,61,61,61,61,61,61,61,61,61,61,61,185,0.009646912602086862,0.00032819036451179446
23,1,29,0.1795046482925983,86,8,21,21,21,21,21,21,21,21,21,21,21,21,21,21,54,0.010014467795069018,0.0020374517887830736
30,3,11,0.12243255785857848,55,512,96,96,96,96,96,96,96,96,96,96,96,96,96,96,400,0.011029942892491817,0.005717574020049402
56,3,90,0.28748302491508,2,16,46,46,46,46,46,46,46,46,46,46,46,46,46,46,77,0.012271954740087191,0.0024536987303148414
19,3,19,0.32894823499284254,61,256,36,36,36,36,36,36,36,36,36,36,36,36,36,36,79,0.010938483290374279,0.005928896045994489
36,4,2,0.41935573685979294,78,32,6,6,6,6,6,6,6,6,6,6,6,6,6,6,55,0.026135250553488733,0.03256989583238825
15,3,92,0.26202713095268837,66,16,51,51,51,51,51,51,51,51,51,51,51,51,51,51,55,0.009791362596054872,0.0013068409601339336
2,1,33,0.03980990375916482,56,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,76,0.025847245504458747,0.033153177236701234
7,2,82,0.3298975281603661,18,128,51,51,51,51,51,51,51,51,51,51,51,51,51,51,85,0.011799233965575695,0.002760951995209913
13,3,88,0.102564761739023,26,16,41,41,41,41,41,41,41,41,41,41,41,41,41,41,57,0.009146702103316784,0.0008594513301974522
