Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4
Info,training points,features,training points,features,training points,features,training points,features
1,1641,21,1734,18,1824,20,1917,19
2,1638,18,1731,19,1821,21,1914,20
3,1635,20,1728,18,1818,19,1911,21
4,1632,20,1725,18,1815,20,1908,21
5,1629,21,1722,25,1812,19,1905,22
6,1626,19,1719,18,1809,19,1902,21
7,1623,21,1716,25,1806,20,1899,27
8,1620,21,1713,18,1803,21,1896,21
9,1617,21,1710,26,1800,20,1893,27
10,1614,19,1707,20,1797,21,1890,21
11,1611,21,1704,25,1794,27,1887,28
12,1608,21,1701,26,1791,22,1884,27
13,1605,24,1698,26,1788,26,1881,22
14,1602,21,1695,25,1785,29,1878,23
15,1599,18,1692,18,1782,28,1875,22
16,1596,25,1689,20,1779,21,1872,21
17,1593,19,1686,18,1776,26,1869,21
18,1590,24,1683,25,1773,26,1866,21
19,1587,18,1680,18,1770,20,1863,22
20,1584,18,1677,18,1767,18,1860,23
21,1581,18,1674,18,1764,18,1857,21
22,1578,20,1671,18,1761,18,1854,23
23,1575,18,1668,18,1758,20,1851,21
24,1572,18,1665,18,1755,18,1848,20
25,1569,18,1662,18,1752,18,1845,21
26,1566,18,1659,18,1749,18,1842,21
27,1563,18,1656,18,1746,18,1839,21
28,1560,18,1653,18,1743,18,1836,20
29,1557,18,1650,18,1740,18,1833,21
30,1554,18,1647,21,1737,18,1830,21
