Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3
Info,training points,features,training points,features,training points,features
1,2121,27,2331,17,2548,17
2,2114,23,2324,19,2541,18
3,2107,25,2317,18,2534,18
4,2100,27,2310,24,2527,17
5,2093,24,2303,18,2520,17
6,2086,25,2296,16,2513,17
7,2079,25,2289,23,2506,18
8,2072,25,2282,17,2499,17
9,2065,24,2275,17,2492,17
10,2058,24,2268,19,2485,18
11,2051,25,2261,16,2478,17
12,2044,25,2254,18,2471,16
13,2037,23,2247,17,2464,16
14,2030,25,2240,18,2457,16
15,2023,25,2233,18,2450,16
16,2016,25,2226,16,2443,16
17,2009,25,2219,16,2436,16
18,2002,25,2212,16,2429,16
19,1995,16,2205,16,2422,16
20,1988,25,2198,16,2415,16
21,1981,24,2191,16,2408,16
22,1974,24,2184,16,2401,16
23,1967,25,2177,16,2394,16
24,1960,25,2170,16,2387,16
25,1953,25,2163,16,2380,16
26,1946,25,2156,16,2373,16
27,1939,18,2149,16,2366,16
28,1932,23,2142,16,2359,16
29,1925,24,2135,16,2352,16
30,1918,18,2128,16,2345,16
