AdminStrata,Al-Hasakeh,Al-Hasakeh,Aleppo,Aleppo,Ar-Raqqa,Ar-Raqqa,As-Sweida,As-Sweida,Damascus,Damascus,Dar'a,Dar'a,Deir-ez-Zor,Hama,Hama,Homs,Homs,Idleb,Idleb,Lattakia,Lattakia,Quneitra,Quneitra,Rural Damascus,Rural Damascus,Tartous,Tartous
Food Group,Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU),Cereals and tubers,Exchange rate (USD/LCU)
2018-03-02,-0.7860185325769556,-0.566688789524388,-0.3142924205812598,-0.5630084768101684,-0.5603866365278014,-0.5663151537158377,-0.7812845216965825,-0.5555544424295925,-0.34907575772393756,-0.5579830751851687,-0.17735202358028324,-0.5469458734005961,-0.2606351016102978,-0.43475840216290074,-0.5707489653106328,-0.4006477886763378,-0.570225875178663,-0.6433895301780063,-0.5627282499537558,-0.4480742507553196,-0.5648953376433467,-0.3959688780934091,-0.5659913360150943,2.0816012808070274,-0.5551060794593321,-0.5260959121233704,-0.5628029771154658
2018-03-03,-0.7860714253051803,-0.5663898808775478,-0.3195581121793716,-0.5630271586005959,-0.5632860306629865,-0.5662777901349827,-0.781961598911679,-0.5563017140466928,-0.34436629407291663,-0.5578336208617486,-0.17665293211680702,-0.546014274784611,-0.26044440807904795,-0.4353870273647054,-0.5707738743645362,-0.40014971833666785,-0.570225875178663,-0.6474531866704479,-0.5636249758942762,-0.4495002584548643,-0.5651195191284767,-0.3974160848975989,-0.566265335608031,2.049172509322576,-0.554807170812492,-0.5256745344110376,-0.5630271586005958
2018-03-04,-0.7855418312700228,-0.5664272444584029,-0.32249369327446037,-0.5631018857623059,-0.5634890507052026,-0.5662777901349827,-0.7818740326174302,-0.5564511683701129,-0.34441419122853373,-0.5577215301191835,-0.1796671341933898,-0.5467241828208562,-0.25799195504785194,-0.4363526819351459,-0.5705995109872126,-0.40171031840487015,-0.5701262389630495,-0.6518797561648322,-0.5646711561582167,-0.44892434231314515,-0.5651195191284767,-0.39820361297715634,-0.5663898808775478,2.036417730127705,-0.554844534393347,-0.5252060462833263,-0.5631018857623057
2018-03-05,-0.7850122372348652,-0.5664646080392579,-0.3254292743695492,-0.5631766129240158,-0.5636920707474186,-0.5662777901349827,-0.7817864663231812,-0.5566006226935329,-0.3444620883841508,-0.5576094393766183,-0.18268133626997257,-0.5474340908571015,-0.25553950201665593,-0.43731833650558644,-0.5704251476098892,-0.40327091847307245,-0.5700266027474362,-0.6563063256592164,-0.5657173364221573,-0.44834842617142606,-0.5651195191284767,-0.3989911410567138,-0.5665144261470646,2.023662950932834,-0.5548818979742021,-0.5247375581556151,-0.5631766129240157
2018-03-06,-0.7844826431997077,-0.566501971620113,-0.32836485546463806,-0.5632513400857257,-0.5638950907896346,-0.5662777901349827,-0.7816989000289323,-0.556750077016953,-0.34450998553976786,-0.5574973486340532,-0.18569553834655536,-0.5481439988933468,-0.2530870489854599,-0.4382839910760269,-0.5702507842325657,-0.40483151854127475,-0.569926966531823,-0.6607328951536007,-0.5667635166860978,-0.4477725100297069,-0.5651195191284767,-0.39977866913627125,-0.5666389714165813,2.0109081717379627,-0.5549192615550571,-0.5242690700279039,-0.5632513400857256
2018-03-07,-0.7839530491645502,-0.566539335200968,-0.3313004365597269,-0.5633260672474357,-0.5640981108318506,-0.5662777901349827,-0.7816113337346834,-0.5568995313403731,-0.34455788269538495,-0.5573852578914881,-0.18870974042313812,-0.5488539069295919,-0.25063459595426396,-0.4392496456464674,-0.5700764208552421,-0.406392118609477,-0.5698273303162096,-0.6651594646479849,-0.5678096969500384,-0.4471965938879878,-0.5651195191284767,-0.4005661972158287,-0.566763516686098,1.9981533925430914,-0.5549566251359122,-0.5238005819001926,-0.5633260672474356
2018-03-08,-0.7834234551293926,-0.566576698781823,-0.3342360176548157,-0.5634007944091457,-0.5643011308740666,-0.5662777901349827,-0.7815237674404344,-0.5570489856637931,-0.344605779851002,-0.5572731671489229,-0.19172394249972088,-0.5495638149658372,-0.24818214292306792,-0.44021530021690786,-0.5699020574779187,-0.4079527186776793,-0.5697276941005963,-0.6695860341423692,-0.5688558772139788,-0.44662067774626873,-0.5651195191284767,-0.40135372529538615,-0.5668880619556148,1.9853986133482207,-0.5549939887167672,-0.5233320937724814,-0.5634007944091456
2018-03-09,-0.7828938610942351,-0.5666140623626781,-0.33717159874990454,-0.5634755215708557,-0.5645041509162826,-0.5662777901349827,-0.7814362011461855,-0.5571984399872132,-0.3446536770066191,-0.5571610764063578,-0.19473814457630367,-0.5502737230020824,-0.24572968989187188,-0.44118095478734837,-0.5697276941005952,-0.4095133187458816,-0.569628057884983,-0.6740126036367534,-0.5699020574779193,-0.4460447616045496,-0.5651195191284767,-0.4021412533749436,-0.5670126072251315,1.9726438341533497,-0.5550313522976222,-0.5228636056447701,-0.5634755215708556
2018-03-10,-0.7823642670590776,-0.5666514259435331,-0.3401071798449934,-0.5635502487325657,-0.5647071709584986,-0.5662777901349827,-0.7813486348519366,-0.5573478943106333,-0.3447015741622362,-0.5570489856637927,-0.19775234665288643,-0.5509836310383277,-0.24327723686067587,-0.4421466093577888,-0.5695533307232716,-0.4110739188140839,-0.5695284216693698,-0.6784391731311377,-0.5709482377418599,-0.4454688454628305,-0.5651195191284767,-0.402928781454501,-0.5671371524946482,1.9598890549584786,-0.5550687158784773,-0.5223951175170589,-0.5635502487325655
