SvyDate,Date,Dmgrph,DmgrphCode,Mean_crrnt,Pop,PopNmbr
2019-4-8_2019-7-6,2019-07-06,ADAMAWA,900959,24.12312,1295480,312510
2019-4-8_2019-7-6,2019-07-06,CENTRAL,900960,17.97566,4672234,839864
2019-4-8_2019-7-6,2019-07-06,EAST,900961,22.01389,1108419,244006
2019-4-8_2019-7-6,2019-07-06,FAR-NORTH,900962,13.51351,4545866,614306
2019-4-8_2019-7-6,2019-07-06,LITTORAL,900963,18.28909,3845583,703322
2019-4-8_2019-7-6,2019-07-06,NORTH,900964,9.05203,2825922,255803
2019-4-8_2019-7-6,2019-07-06,SOUTH,900967,19.44828,797019,155006
2019-4-8_2019-7-6,2019-07-06,WEST,900966,38.0848,2066677,787089
2019-6-8_2019-7-7,2019-07-07,NORTH-WEST,900965,56.03471999999999,2221973,1245076
2019-6-8_2019-7-7,2019-07-07,SOUTH-WEST,900968,51.35948000000001,1837059,943503
2019-4-9_2019-7-7,2019-07-07,ADAMAWA,900959,24.7191,1295480,320230
2019-4-9_2019-7-7,2019-07-07,CENTRAL,900960,17.711170000000006,4672234,827507
2019-4-9_2019-7-7,2019-07-07,EAST,900961,22.89402,1108419,253761
2019-4-9_2019-7-7,2019-07-07,FAR-NORTH,900962,14.38127,4545866,653753
2019-4-9_2019-7-7,2019-07-07,LITTORAL,900963,17.9502,3845583,690289
2019-4-9_2019-7-7,2019-07-07,NORTH,900964,10.243899999999998,2825922,289484
2019-4-9_2019-7-7,2019-07-07,SOUTH,900967,18.43137,797019,146901
2019-4-9_2019-7-7,2019-07-07,WEST,900966,37.26753,2066677,770199
2019-6-9_2019-7-8,2019-07-08,NORTH-WEST,900965,56.61404,2221973,1257948
2019-6-9_2019-7-8,2019-07-08,SOUTH-WEST,900968,51.11360000000001,1837059,938986
2019-4-10_2019-7-8,2019-07-08,ADAMAWA,900959,25.49692,1295480,330307
2019-4-10_2019-7-8,2019-07-08,CENTRAL,900960,17.954179999999997,4672234,838861
2019-4-10_2019-7-8,2019-07-08,EAST,900961,22.48165,1108419,249190
2019-4-10_2019-7-8,2019-07-08,FAR-NORTH,900962,13.31269,4545866,605177
2019-4-10_2019-7-8,2019-07-08,LITTORAL,900963,17.15551,3845583,659729
2019-4-10_2019-7-8,2019-07-08,NORTH,900964,9.75448,2825922,275653
2019-4-10_2019-7-8,2019-07-08,SOUTH,900967,18.88247,797019,150496
2019-4-10_2019-7-8,2019-07-08,WEST,900966,34.32148,2066677,709314
2019-6-10_2019-7-9,2019-07-09,NORTH-WEST,900965,56.8191,2221973,1262505
2019-6-10_2019-7-9,2019-07-09,SOUTH-WEST,900968,51.80044,1837059,951604
2019-4-11_2019-7-9,2019-07-09,ADAMAWA,900959,25.08429,1295480,324961
2019-4-11_2019-7-9,2019-07-09,CENTRAL,900960,20.08303,4672234,938326
2019-4-11_2019-7-9,2019-07-09,EAST,900961,21.96871,1108419,243505
2019-4-11_2019-7-9,2019-07-09,FAR-NORTH,900962,12.60997,4545866,573232
2019-4-11_2019-7-9,2019-07-09,LITTORAL,900963,17.94454,3845583,690072
2019-4-11_2019-7-9,2019-07-09,NORTH,900964,9.564090000000002,2825922,270273
2019-4-11_2019-7-9,2019-07-09,SOUTH,900967,18.46734,797019,147188
2019-4-11_2019-7-9,2019-07-09,WEST,900966,34.29303,2066677,708726
2019-6-11_2019-7-10,2019-07-10,NORTH-WEST,900965,57.5782,2221973,1279372
2019-6-11_2019-7-10,2019-07-10,SOUTH-WEST,900968,51.70893,1837059,949923
2019-4-12_2019-7-10,2019-07-10,ADAMAWA,900959,24.425480000000004,1295480,316427
2019-4-12_2019-7-10,2019-07-10,CENTRAL,900960,19.359679999999997,4672234,904529
